trial_id,subject,block,trial_in_block,condition,stimulus_category,rt_ms,accuracy,confidence,pupil_baseline_mm,pupil_peak_mm,theta_power_db,alpha_power_db,n170_uv,p300_uv
1014,S09,2,24,incongruent,face,650.9,1,5.0,2.72,3.28,6.08,9.23,-2.66,8.25
1015,S09,2,25,congruent,house,655.8,1,4.3,3.27,3.65,4.28,9.44,-3.16,5.62
1016,S09,2,26,congruent,house,670.8,0,2.3,2.96,3.44,4.78,10.04,-2.88,8.39
1017,S09,2,27,congruent,face,641.2,1,5.0,3.31,3.64,5.9,8.76,-2.89,8.87
1018,S09,2,28,congruent,house,678.2,1,5.0,2.91,3.39,4.91,8.51,-2.82,6.8
1019,S09,2,29,incongruent,house,750.1,1,3.7,3.06,3.59,5.85,10.53,-2.43,3.44
1020,S09,2,30,incongruent,house,714.5,1,5.0,3.54,4.08,6.23,7.45,-2.27,3.89
1021,S09,3,1,incongruent,house,720.7,1,4.4,2.97,3.42,7.17,10.48,-2.35,4.85
1022,S09,3,2,congruent,house,721.4,1,1.9,3.71,4.08,5.14,11.3,-2.23,7.85
1023,S09,3,3,congruent,face,652.6,1,3.6,2.92,3.38,4.58,8.91,-4.67,6.71
1024,S09,3,4,congruent,house,627.7,1,4.3,3.39,3.9,5.96,11.1,-2.85,5.93
1025,S09,3,5,incongruent,house,744.0,0,2.8,3.3,3.93,6.32,9.16,-3.53,4.2
1026,S09,3,6,congruent,house,663.6,1,3.1,2.97,3.35,4.27,10.52,-3.01,5.79
1027,S09,3,7,congruent,face,601.8,1,4.4,2.91,3.14,3.82,8.9,-5.62,6.31
1028,S09,3,8,incongruent,face,633.0,1,5.0,3.2,3.7,5.59,9.12,-2.6,4.66
1029,S09,3,9,incongruent,house,711.6,1,3.8,2.87,3.49,5.34,9.68,-4.3,5.58
1030,S09,3,10,incongruent,face,675.8,1,4.8,3.07,3.85,5.06,10.0,-5.83,5.06
1031,S09,3,11,congruent,house,654.5,1,4.9,2.96,3.34,5.47,8.22,-3.45,6.88
1032,S09,3,12,incongruent,house,771.0,1,3.9,2.88,3.44,5.49,8.87,-2.79,6.17
1033,S09,3,13,incongruent,face,714.4,1,3.7,2.81,3.44,5.39,7.93,-4.35,4.57
1034,S09,3,14,congruent,house,656.4,1,3.8,2.85,3.12,4.94,10.37,-4.13,7.86
1035,S09,3,15,congruent,face,653.5,1,5.0,3.02,3.3,3.83,11.51,-2.53,5.51
1036,S09,3,16,congruent,face,625.4,0,2.0,2.61,3.14,5.12,9.95,-4.51,7.45
1037,S09,3,17,incongruent,house,711.7,0,2.7,3.01,3.51,5.31,8.0,-4.52,5.6
1038,S09,3,18,congruent,face,578.1,1,3.9,2.98,3.17,5.38,7.92,-4.24,5.67
1039,S09,3,19,incongruent,house,730.9,1,4.3,3.2,3.59,5.48,8.93,-1.48,4.69
1040,S09,3,20,incongruent,face,705.2,1,4.0,3.31,3.7,4.57,5.86,-3.51,6.34
1041,S09,3,21,incongruent,house,681.6,1,5.0,3.52,4.12,5.93,10.8,-2.96,4.85
1042,S09,3,22,congruent,house,608.0,1,3.3,3.36,3.76,5.9,8.04,-0.8,4.6
1043,S09,3,23,incongruent,house,765.8,1,3.9,2.9,3.32,6.49,10.16,-1.35,5.96
1044,S09,3,24,incongruent,house,651.0,0,2.6,2.96,3.4,6.36,9.75,-2.2,4.51
1045,S09,3,25,incongruent,house,701.2,0,1.8,3.02,3.74,4.44,7.71,-2.48,7.88
1046,S09,3,26,incongruent,face,726.6,1,3.7,3.12,3.6,6.21,6.67,-3.41,5.46
1047,S09,3,27,congruent,house,607.9,1,4.0,3.17,3.46,4.88,8.35,-2.6,7.32
1048,S09,3,28,incongruent,house,666.3,1,4.5,3.05,3.55,7.03,8.06,-1.62,3.78
1049,S09,3,29,incongruent,face,672.0,1,2.7,2.95,3.52,4.95,8.72,-5.78,5.07
1050,S09,3,30,congruent,house,648.5,1,3.3,2.94,3.22,3.98,11.3,-3.06,3.72
1051,S09,4,1,incongruent,face,660.7,1,3.5,3.23,3.84,6.02,6.95,-5.24,7.04
1052,S09,4,2,incongruent,face,738.9,1,4.2,2.75,3.23,5.09,8.87,-4.21,6.05
1053,S09,4,3,incongruent,house,715.2,1,4.9,3.07,3.58,6.02,9.11,-4.36,3.91
1054,S09,4,4,incongruent,house,710.8,1,4.3,2.96,3.42,4.9,10.4,-4.67,4.23
1055,S09,4,5,congruent,face,664.9,1,5.0,2.76,3.14,5.24,8.34,-3.6,6.08
1056,S09,4,6,incongruent,house,624.2,1,3.8,3.39,3.91,6.57,9.81,-2.83,6.5
1057,S09,4,7,congruent,house,548.8,1,5.0,2.79,3.22,5.39,9.13,-4.7,6.0
1058,S09,4,8,incongruent,house,668.2,1,3.4,3.4,3.91,5.26,10.9,-2.12,4.11
1059,S09,4,9,congruent,face,640.8,0,1.7,2.82,3.08,3.47,8.08,-5.22,6.15
1060,S09,4,10,incongruent,house,695.0,1,4.5,3.04,3.6,5.9,9.35,0.07,6.68
1061,S09,4,11,incongruent,house,671.4,1,3.1,2.82,3.38,6.4,9.8,-1.85,5.92
1062,S09,4,12,congruent,house,629.3,1,4.8,3.08,3.43,6.01,9.98,-2.62,7.48
1063,S09,4,13,incongruent,face,712.0,1,5.0,3.3,3.78,6.21,8.97,-2.99,4.67
1064,S09,4,14,incongruent,face,690.5,1,3.5,3.24,3.81,6.6,8.59,-4.71,6.51
1065,S09,4,15,incongruent,house,755.7,1,4.4,2.98,3.52,5.97,8.53,-1.37,6.21
1066,S09,4,16,incongruent,house,791.7,1,3.3,2.89,3.54,6.98,10.41,-1.38,7.1
1067,S09,4,17,incongruent,face,719.3,1,3.6,3.28,3.93,5.56,8.22,-3.82,4.49
1068,S09,4,18,congruent,house,703.6,1,3.8,3.1,3.42,5.79,11.02,-2.94,5.15
1069,S09,4,19,incongruent,house,715.5,1,4.2,3.29,3.82,6.02,8.02,-0.15,5.0
1070,S09,4,20,incongruent,house,732.5,1,4.1,3.1,3.56,6.01,7.22,-0.95,6.51
1071,S09,4,21,incongruent,face,659.3,0,5.0,3.4,4.01,6.07,7.58,-3.3,3.86
1072,S09,4,22,congruent,house,594.7,1,4.1,3.13,3.48,4.11,9.2,-3.32,4.83
1073,S09,4,23,incongruent,house,733.0,0,2.0,3.03,3.7,5.01,9.71,-2.59,6.93
1074,S09,4,24,congruent,house,632.6,1,3.0,3.12,3.47,3.98,11.49,-1.63,5.34
1075,S09,4,25,congruent,house,600.0,1,3.6,3.01,3.26,5.02,11.4,-1.86,6.62
1076,S09,4,26,incongruent,face,727.2,1,4.4,3.58,4.05,3.69,7.34,-3.81,5.44
1077,S09,4,27,congruent,house,636.0,1,4.5,3.0,3.31,4.37,10.32,-2.66,7.08
1078,S09,4,28,incongruent,face,691.8,0,2.0,2.84,3.31,5.42,11.08,-5.65,4.81
1079,S09,4,29,incongruent,face,743.3,1,3.9,3.3,3.98,6.69,8.44,-4.35,5.47
1080,S09,4,30,incongruent,face,656.9,1,4.2,3.09,3.52,5.74,6.33,-4.88,4.61
1081,S10,1,1,incongruent,face,724.3,1,4.6,3.38,4.06,5.19,7.64,-3.63,5.39
1082,S10,1,2,incongruent,face,687.4,1,5.0,2.83,3.41,6.07,6.71,-5.13,4.47
1083,S10,1,3,incongruent,house,706.7,0,4.5,3.12,3.69,5.32,8.42,-0.79,2.72
1084,S10,1,4,incongruent,house,656.1,1,3.7,2.85,3.39,3.9,8.82,-2.79,3.5
1085,S10,1,5,incongruent,face,687.9,1,4.0,3.43,4.15,6.22,9.91,-2.58,5.75
1086,S10,1,6,congruent,face,679.3,1,4.3,2.64,3.03,3.82,7.45,-4.11,5.24
1087,S10,1,7,incongruent,face,706.8,1,4.7,3.08,3.64,4.86,8.39,-3.2,6.76
1088,S10,1,8,incongruent,house,686.0,1,3.6,2.75,3.27,6.14,8.26,-2.79,5.09
1089,S10,1,9,congruent,face,617.7,1,3.3,3.23,3.58,4.94,10.93,-2.97,4.5
1090,S10,1,10,incongruent,face,708.8,1,4.3,2.67,3.32,6.06,7.56,-4.89,3.02
1091,S10,1,11,congruent,face,584.0,1,5.0,3.09,3.43,5.2,9.38,-5.38,5.89
1092,S10,1,12,incongruent,house,721.8,1,4.2,2.72,3.3,5.7,12.26,-3.09,5.85
1093,S10,1,13,congruent,face,640.6,1,5.0,2.81,3.2,4.57,9.17,-5.72,8.68
1094,S10,1,14,incongruent,face,643.9,1,3.7,3.18,3.78,6.03,5.96,-3.6,5.26
1095,S10,1,15,congruent,face,571.1,1,3.1,3.03,3.4,5.65,8.42,-2.85,8.13
1096,S10,1,16,incongruent,face,648.7,0,3.1,2.92,3.54,5.22,7.52,-4.07,4.44
1097,S10,1,17,incongruent,face,703.9,1,4.2,2.68,3.24,5.81,9.67,-3.69,5.12
1098,S10,1,18,congruent,house,642.4,1,3.9,3.22,3.55,6.05,12.42,-1.83,8.96
1099,S10,1,19,congruent,face,629.1,1,4.0,2.69,3.14,6.41,10.94,-3.21,7.12
1100,S10,1,20,incongruent,house,713.9,0,2.7,2.99,3.6,6.52,8.18,-2.96,4.7
1101,S10,1,21,congruent,face,607.4,0,3.0,3.68,4.07,4.83,10.09,-4.64,4.29
1102,S10,1,22,incongruent,face,687.1,1,4.0,2.58,3.09,5.87,8.72,-4.71,5.28
1103,S10,1,23,incongruent,face,701.2,0,3.1,3.17,3.68,7.39,8.43,-4.58,4.81
1104,S10,1,24,incongruent,house,741.5,1,3.7,2.97,3.42,4.47,8.64,-1.83,5.68
1105,S10,1,25,incongruent,face,722.2,1,4.0,3.12,3.64,6.78,8.6,-4.95,6.22
1106,S10,1,26,congruent,house,679.6,0,2.8,3.24,3.48,5.01,9.44,0.16,7.02
1107,S10,1,27,incongruent,face,757.3,1,3.5,3.18,3.77,6.14,8.62,-4.14,5.72
1108,S10,1,28,congruent,house,674.7,1,4.1,2.9,3.24,5.43,7.86,-4.48,8.09
1109,S10,1,29,incongruent,house,715.1,1,3.9,3.18,3.6,4.92,8.84,-2.85,3.82
1110,S10,1,30,congruent,face,624.8,1,4.3,3.07,3.49,4.25,7.72,-4.61,6.88
1111,S10,2,1,congruent,face,651.8,0,1.9,3.34,3.65,5.7,9.43,-4.01,6.5
1112,S10,2,2,incongruent,house,726.9,1,4.0,3.19,3.58,5.66,7.85,-2.47,5.37
1113,S10,2,3,congruent,face,664.3,1,3.9,3.81,4.07,4.53,10.48,-3.55,7.48
1114,S10,2,4,congruent,house,561.8,1,4.0,3.41,3.61,5.08,9.32,-2.13,7.24
1115,S10,2,5,congruent,house,653.0,1,4.4,3.35,3.72,4.01,10.13,-0.09,9.1
1116,S10,2,6,congruent,house,668.0,1,4.1,3.33,3.68,4.58,9.68,-2.15,5.19
1117,S10,2,7,incongruent,house,668.5,1,3.0,2.96,3.45,7.2,8.38,-4.85,4.59
1118,S10,2,8,incongruent,house,745.9,1,5.0,3.15,3.61,6.84,8.76,-3.36,4.82
1119,S10,2,9,congruent,house,645.1,1,3.8,2.78,3.01,5.05,10.09,-3.25,6.15
1120,S10,2,10,incongruent,face,761.2,1,4.2,3.34,3.81,5.69,8.55,-5.61,5.64
1121,S10,2,11,incongruent,face,645.2,1,5.0,3.62,4.25,4.88,9.14,-4.78,5.8
1122,S10,2,12,incongruent,face,621.5,1,4.6,3.17,3.73,5.85,9.09,-3.77,5.02
1123,S10,2,13,incongruent,house,717.0,1,4.2,3.05,3.54,5.85,8.59,-2.85,4.29
1124,S10,2,14,congruent,house,681.9,1,2.7,3.25,3.62,4.2,10.93,-4.1,8.26
1125,S10,2,15,incongruent,house,718.6,1,3.7,2.92,3.44,5.36,6.97,-1.43,5.06
1126,S10,2,16,incongruent,face,647.8,1,3.2,3.13,3.62,5.33,7.28,-4.92,5.41
1127,S10,2,17,congruent,house,620.2,1,4.7,2.68,3.04,4.23,8.74,-2.44,6.04
1128,S10,2,18,congruent,face,703.2,1,2.7,2.73,3.14,4.7,11.2,-3.68,7.22
1129,S10,2,19,incongruent,house,653.2,0,3.2,2.89,3.49,7.27,8.94,-2.15,4.8
1130,S10,2,20,incongruent,house,642.8,1,4.1,3.55,3.94,5.5,10.75,-2.94,5.16
1131,S10,2,21,congruent,house,573.4,1,3.4,3.13,3.43,4.56,9.46,-2.75,6.06
1132,S10,2,22,incongruent,face,702.5,1,4.2,2.95,3.47,4.26,8.43,-4.7,4.09
1133,S10,2,23,congruent,house,700.3,0,2.3,2.97,3.29,5.47,10.17,-2.61,7.55
1134,S10,2,24,congruent,face,705.0,1,3.5,3.04,3.5,4.6,10.54,-4.93,5.73
1135,S10,2,25,congruent,face,680.6,1,3.5,3.08,3.4,5.14,11.67,-4.67,7.55
1136,S10,2,26,congruent,house,656.7,1,3.5,3.18,3.52,4.27,11.22,-2.6,6.48
1137,S10,2,27,congruent,house,712.9,1,4.2,2.95,3.24,5.82,12.23,-2.92,7.27
1138,S10,2,28,incongruent,house,788.5,1,4.4,2.92,3.26,5.45,11.42,-3.36,6.51
1139,S10,2,29,incongruent,face,704.0,1,3.6,3.33,3.86,5.96,8.76,-2.11,4.8
1140,S10,2,30,congruent,house,661.6,1,3.2,3.15,3.47,5.0,11.47,-2.32,8.51
1141,S10,3,1,congruent,face,644.3,1,4.0,2.86,3.32,4.65,11.11,-4.29,7.71
1142,S10,3,2,congruent,face,606.5,1,5.0,3.16,3.6,5.39,9.77,-4.11,7.57
1143,S10,3,3,incongruent,house,721.7,1,3.8,3.42,3.9,4.72,10.15,-4.12,2.7
1144,S10,3,4,incongruent,house,717.7,1,3.8,2.75,3.19,5.51,7.67,-2.39,4.75
1145,S10,3,5,incongruent,house,728.0,1,3.9,3.15,3.69,4.0,9.98,-2.55,6.19
1146,S10,3,6,congruent,face,629.4,0,3.4,2.75,3.03,5.27,8.64,-5.23,8.07
1147,S10,3,7,congruent,house,693.8,0,2.8,2.94,3.31,4.53,9.48,-2.1,8.46
1148,S10,3,8,incongruent,house,791.3,1,2.8,3.28,3.75,5.51,7.08,-3.6,3.3
1149,S10,3,9,congruent,face,647.6,1,4.6,2.69,3.1,4.98,9.28,-4.32,7.09
1150,S10,3,10,incongruent,face,690.4,1,3.6,2.84,3.37,4.91,6.53,-4.64,7.43
1151,S10,3,11,congruent,face,547.7,1,4.2,2.93,3.31,5.02,8.13,-3.97,8.48
1152,S10,3,12,congruent,house,616.6,1,4.7,2.79,3.2,4.43,10.29,-3.26,6.01
1153,S10,3,13,congruent,house,677.4,0,3.4,2.77,3.02,4.37,10.19,-2.47,5.02
1154,S10,3,14,incongruent,house,674.1,1,5.0,2.87,3.32,4.91,9.96,-2.74,4.15
1155,S10,3,15,congruent,face,656.9,1,4.5,3.08,3.38,3.96,10.28,-3.62,6.15
1156,S10,3,16,congruent,house,656.5,1,4.3,3.06,3.34,4.8,11.01,-3.21,7.42
1157,S10,3,17,congruent,house,669.7,1,3.9,3.33,3.59,4.15,9.92,-0.57,5.86
1158,S10,3,18,incongruent,face,710.3,1,4.2,2.99,3.49,4.54,8.57,-3.4,5.48
1159,S10,3,19,incongruent,face,724.7,1,3.7,2.98,3.39,5.51,8.78,-2.58,6.14
1160,S10,3,20,incongruent,face,633.8,1,4.7,3.04,3.62,5.57,9.46,-5.9,7.65
1161,S10,3,21,incongruent,house,698.4,1,3.7,3.04,3.59,6.02,10.47,-1.29,5.86
1162,S10,3,22,incongruent,face,702.8,1,4.4,2.96,3.51,6.05,8.56,-3.89,6.61
1163,S10,3,23,incongruent,face,774.1,1,3.5,2.82,3.32,5.31,7.72,-4.98,6.14
1164,S10,3,24,incongruent,house,747.5,0,2.6,3.13,3.69,5.24,8.69,-1.85,6.93
1165,S10,3,25,incongruent,house,697.3,1,4.2,3.16,3.67,5.87,9.7,-2.44,3.72
1166,S10,3,26,congruent,face,662.0,1,3.9,3.24,3.67,4.76,10.78,-3.1,8.73
1167,S10,3,27,congruent,face,615.9,1,4.6,3.44,3.77,5.49,11.11,-5.39,6.57
1168,S10,3,28,congruent,house,647.6,1,3.9,3.83,4.33,3.89,10.67,-1.9,6.33
1169,S10,3,29,incongruent,face,638.0,1,4.2,3.12,3.6,5.14,8.49,-3.41,5.29
1170,S10,3,30,incongruent,house,679.3,1,3.9,3.25,3.71,7.05,7.17,-0.98,5.53
1171,S10,4,1,congruent,house,694.2,1,4.5,3.57,3.86,6.38,10.46,-3.13,5.55
1172,S10,4,2,incongruent,face,610.6,1,3.9,2.83,3.42,5.55,7.84,-4.63,5.9
1173,S10,4,3,congruent,face,649.3,1,3.3,3.03,3.43,5.3,9.12,-3.62,5.43
1174,S10,4,4,incongruent,house,699.3,1,4.2,3.03,3.68,5.5,11.88,-3.21,3.98
1175,S10,4,5,congruent,face,607.3,1,4.3,3.22,3.54,4.5,10.63,-5.98,5.2
1176,S10,4,6,congruent,face,704.4,0,3.2,3.11,3.57,3.79,10.28,-4.5,8.09
1177,S10,4,7,incongruent,face,694.0,1,3.2,2.95,3.5,5.17,8.2,-6.19,4.88
1178,S10,4,8,incongruent,face,730.3,1,4.1,3.16,3.62,6.84,11.08,-4.14,9.03
1179,S10,4,9,congruent,house,623.7,1,5.0,3.03,3.32,4.27,11.37,-1.7,6.12
1180,S10,4,10,congruent,house,604.8,1,4.6,3.12,3.63,6.27,9.96,-2.72,5.99
1181,S10,4,11,incongruent,house,643.5,0,3.7,2.71,3.4,5.19,11.28,-3.07,3.21
1182,S10,4,12,incongruent,house,773.7,1,3.9,2.87,3.39,5.78,8.78,-4.52,4.59
1183,S10,4,13,incongruent,house,695.9,1,3.7,3.45,3.89,6.2,9.26,-2.46,4.37
1184,S10,4,14,congruent,face,643.3,1,4.3,3.21,3.75,5.09,7.11,-3.14,6.51
1185,S10,4,15,incongruent,house,687.9,1,3.7,3.1,3.68,6.48,10.27,-2.63,8.88
1186,S10,4,16,incongruent,house,638.3,1,5.0,3.08,3.62,5.32,8.66,-3.49,6.06
1187,S10,4,17,congruent,house,670.9,1,3.1,2.71,3.32,5.93,11.61,-3.37,6.81
1188,S10,4,18,congruent,face,584.6,1,5.0,3.31,3.59,4.68,10.3,-4.87,6.91
1189,S10,4,19,congruent,face,655.0,0,2.5,2.82,3.05,4.82,10.38,-5.68,7.18
1190,S10,4,20,incongruent,house,627.9,1,5.0,3.24,3.62,6.16,8.3,-2.01,4.43
1191,S10,4,21,congruent,house,655.7,1,3.9,2.81,3.21,5.02,8.06,-1.71,6.55
1192,S10,4,22,congruent,face,678.0,1,4.9,3.03,3.47,4.99,10.01,-3.9,8.54
1193,S10,4,23,incongruent,face,669.7,1,3.6,2.84,3.2,4.62,10.98,-4.96,8.06
1194,S10,4,24,congruent,face,641.4,1,4.1,3.57,4.06,5.09,8.02,-5.26,5.61
1195,S10,4,25,congruent,face,652.4,1,5.0,2.86,3.22,5.22,8.36,-4.94,5.8
1196,S10,4,26,congruent,house,655.7,1,5.0,3.13,3.47,4.48,10.0,-3.25,6.66
1197,S10,4,27,congruent,face,635.1,1,3.9,2.99,3.41,3.66,11.29,-4.16,7.65
1198,S10,4,28,congruent,face,611.7,1,3.4,3.04,3.45,4.49,10.13,-6.67,6.26
1199,S10,4,29,congruent,house,618.3,1,2.0,2.85,3.29,4.49,9.44,-5.03,4.52
1200,S10,4,30,congruent,house,683.4,1,3.7,3.09,3.36,3.5,9.81,-2.13,7.63
1201,S11,1,1,incongruent,face,709.6,1,4.0,3.05,3.52,3.59,9.99,-3.97,3.32
1202,S11,1,2,incongruent,face,686.9,0,2.4,3.23,3.7,4.93,9.96,-4.48,5.19
1203,S11,1,3,congruent,face,630.9,1,3.0,3.16,3.45,5.5,10.06,-3.89,4.55
1204,S11,1,4,congruent,face,695.3,1,4.1,2.52,2.76,5.73,9.84,-4.65,5.53
1205,S11,1,5,incongruent,house,711.8,1,3.9,3.49,4.0,5.74,7.53,-3.06,5.65
1206,S11,1,6,incongruent,house,697.1,0,4.0,3.14,3.76,6.14,10.5,-3.31,5.11
1207,S11,1,7,congruent,house,699.7,1,4.7,2.96,3.39,5.61,10.81,-2.57,7.8
1208,S11,1,8,congruent,house,672.9,1,3.2,3.22,3.48,4.6,10.05,-3.43,6.92
1209,S11,1,9,congruent,house,689.6,1,5.0,3.07,3.34,4.21,11.38,-3.11,4.89
1210,S11,1,10,congruent,face,633.3,1,4.8,3.17,3.72,3.69,8.42,-4.56,9.97
1211,S11,1,11,incongruent,face,671.3,1,3.5,2.9,3.55,5.53,8.47,-3.53,3.07
1212,S11,1,12,congruent,house,614.6,1,3.7,2.94,3.32,5.05,9.74,-2.33,5.58
1213,S11,1,13,incongruent,house,697.2,1,3.9,3.57,4.09,4.9,10.3,-3.17,5.8
1214,S11,1,14,congruent,house,721.6,1,5.0,2.84,3.17,5.88,10.2,-0.43,6.42
1215,S11,1,15,congruent,face,583.9,1,5.0,2.69,2.99,5.47,7.47,-3.7,7.54
1216,S11,1,16,congruent,house,711.0,1,5.0,3.23,3.56,4.1,9.32,-2.74,7.05
1217,S11,1,17,congruent,face,653.3,1,5.0,3.15,3.43,3.63,10.22,-5.17,8.01
1218,S11,1,18,incongruent,house,649.5,1,5.0,3.35,3.72,5.1,7.66,-2.18,5.98
1219,S11,1,19,congruent,face,688.0,1,4.2,3.01,3.28,4.89,9.46,-3.68,7.78
1220,S11,1,20,incongruent,house,768.3,1,3.1,3.22,3.76,6.05,7.68,-0.91,6.39
1221,S11,1,21,congruent,face,639.0,1,4.9,2.82,3.37,4.47,11.46,-4.48,9.01
1222,S11,1,22,congruent,house,664.8,1,4.6,3.38,3.7,4.96,11.5,-3.41,7.6
1223,S11,1,23,congruent,house,667.8,1,3.9,3.14,3.49,6.0,11.21,-2.41,5.73
1224,S11,1,24,congruent,face,740.8,1,4.2,3.19,3.53,4.2,8.46,-4.85,5.81
1225,S11,1,25,congruent,face,628.4,1,4.6,3.01,3.45,4.01,10.81,-4.31,6.73
1226,S11,1,26,congruent,face,596.7,1,3.6,3.25,3.53,3.82,8.31,-4.68,6.32
1227,S11,1,27,congruent,house,720.2,1,3.0,2.89,3.3,4.58,11.03,-2.49,9.01
1228,S11,1,28,congruent,face,699.7,1,4.0,3.02,3.26,5.93,10.29,-4.65,8.63
1229,S11,1,29,incongruent,face,752.3,1,4.0,3.15,3.71,6.29,9.3,-3.75,4.29
1230,S11,1,30,incongruent,house,651.3,0,1.9,3.01,3.44,5.19,9.22,-3.23,7.0
1231,S11,2,1,congruent,face,646.0,1,4.7,2.82,3.12,5.23,9.82,-5.35,7.85
1232,S11,2,2,incongruent,face,765.7,1,3.3,2.97,3.45,5.81,8.36,-5.45,3.45
1233,S11,2,3,incongruent,house,723.7,1,3.7,3.15,3.88,6.52,8.85,-3.22,1.4
1234,S11,2,4,incongruent,house,754.4,1,3.1,2.81,3.38,5.64,10.03,-2.61,6.75
1235,S11,2,5,incongruent,face,613.0,1,3.8,3.37,4.05,5.59,7.87,-6.25,6.61
1236,S11,2,6,incongruent,face,840.1,1,5.0,3.29,3.73,5.86,9.53,-4.53,6.57
1237,S11,2,7,incongruent,house,718.3,1,4.0,3.14,3.52,5.82,9.08,-4.0,4.93
1238,S11,2,8,congruent,face,738.9,1,4.8,3.07,3.28,5.37,8.61,-4.64,5.33
1239,S11,2,9,congruent,house,706.0,0,4.1,2.59,2.85,3.63,10.76,-3.39,6.12
1240,S11,2,10,incongruent,face,724.2,1,3.2,3.1,3.73,5.68,7.65,-6.45,6.73
1241,S11,2,11,incongruent,house,641.8,1,3.4,3.04,3.47,5.83,8.9,-0.48,3.01
1242,S11,2,12,congruent,house,671.8,1,4.2,3.29,3.66,5.87,7.39,-3.54,8.87
1243,S11,2,13,congruent,face,707.5,1,4.7,3.37,3.67,6.74,9.64,-6.49,7.33
1244,S11,2,14,congruent,face,704.4,0,2.5,3.48,3.91,4.32,9.22,-3.78,6.29
1245,S11,2,15,incongruent,house,671.0,1,4.3,2.6,3.05,4.46,7.22,-2.27,5.09
1246,S11,2,16,incongruent,face,647.8,1,4.4,3.09,3.68,6.38,8.3,-6.15,4.34
1247,S11,2,17,incongruent,house,671.5,1,5.0,2.98,3.51,4.78,10.69,-1.83,6.53
1248,S11,2,18,incongruent,house,699.8,0,4.1,3.26,3.61,6.02,8.5,-1.8,5.97
1249,S11,2,19,congruent,face,661.5,1,4.5,3.47,3.87,4.92,10.78,-2.06,8.08
1250,S11,2,20,congruent,house,683.5,1,4.1,3.64,3.94,5.71,9.85,-4.18,6.54
1251,S11,2,21,incongruent,house,723.1,0,3.9,3.37,4.03,5.87,9.16,-2.0,4.59
1252,S11,2,22,congruent,house,656.1,1,4.2,2.99,3.33,5.15,11.53,-3.55,6.33
1253,S11,2,23,congruent,face,625.2,1,4.5,3.18,3.46,5.81,10.53,-5.2,8.51
1254,S11,2,24,incongruent,house,712.0,0,2.9,3.24,3.78,5.46,6.77,-2.17,4.88
1255,S11,2,25,incongruent,face,691.4,1,4.2,3.14,3.66,6.88,7.74,-4.62,3.67
1256,S11,2,26,incongruent,face,680.8,1,3.7,3.12,3.55,4.13,9.15,-6.41,6.6
1257,S11,2,27,congruent,face,710.5,1,5.0,2.99,3.16,4.84,11.45,-3.77,6.08
1258,S11,2,28,incongruent,house,762.7,1,5.0,2.97,3.58,6.23,8.36,-3.12,6.83
1259,S11,2,29,congruent,house,590.4,1,4.3,3.08,3.47,4.61,9.29,-2.94,6.15
1260,S11,2,30,congruent,house,705.0,1,5.0,2.99,3.35,5.53,7.64,-2.94,6.0
1261,S11,3,1,congruent,house,660.5,1,4.8,3.18,3.54,5.0,12.2,-2.53,6.08
1262,S11,3,2,congruent,house,599.5,1,4.0,2.96,3.35,4.5,8.9,-2.09,8.72
1263,S11,3,3,incongruent,face,621.3,1,3.7,3.38,3.85,5.13,8.64,-4.26,4.3
1264,S11,3,4,incongruent,face,695.1,1,3.8,3.21,3.84,6.86,7.69,-3.2,6.17
1265,S11,3,5,congruent,house,655.6,1,4.8,3.49,3.87,4.83,7.05,-4.31,6.25
1266,S11,3,6,congruent,house,700.6,1,3.7,2.98,3.44,4.47,10.54,-2.5,8.06
1267,S11,3,7,incongruent,face,630.7,1,4.1,3.17,3.64,6.5,8.62,-5.22,4.76
1268,S11,3,8,incongruent,house,748.9,1,3.4,2.93,3.4,5.83,8.99,-3.19,4.89
1269,S11,3,9,incongruent,face,757.1,0,3.1,3.45,3.96,5.33,9.71,-5.28,5.37
1270,S11,3,10,congruent,face,567.8,1,3.8,2.78,3.14,5.68,11.63,-4.21,8.23
1271,S11,3,11,congruent,house,577.4,1,3.4,3.45,3.85,4.22,10.37,-0.57,8.95
1272,S11,3,12,incongruent,face,675.0,1,4.0,3.4,3.99,4.52,9.15,-4.48,5.45
1273,S11,3,13,congruent,face,696.0,1,4.1,2.99,3.21,4.82,11.61,-6.01,6.77
1274,S11,3,14,congruent,face,664.9,1,3.1,2.76,3.22,4.21,8.8,-2.2,5.77
1275,S11,3,15,incongruent,house,764.7,0,2.4,3.18,3.86,5.17,8.61,-2.28,6.27
1276,S11,3,16,incongruent,house,680.9,0,3.1,3.42,3.93,5.68,7.97,-0.84,5.62
1277,S11,3,17,congruent,face,655.8,1,2.6,3.41,3.78,5.04,7.9,-5.2,8.29
1278,S11,3,18,congruent,house,636.0,1,4.2,3.07,3.58,4.58,11.49,-2.32,6.78
1279,S11,3,19,incongruent,face,702.7,1,5.0,3.4,3.62,6.01,8.85,-4.33,6.25
1280,S11,3,20,congruent,face,682.5,1,5.0,3.29,3.7,5.25,10.79,-3.28,6.64
1281,S11,3,21,congruent,face,738.3,0,2.5,3.68,3.87,5.35,8.56,-2.42,7.15
1282,S11,3,22,incongruent,face,695.0,1,3.9,3.02,3.49,5.89,9.07,-5.3,3.08
1283,S11,3,23,incongruent,face,739.9,0,4.0,3.35,4.09,7.87,6.49,-6.5,5.39
